date,confirmed,deaths,recovered
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,1,0,0
2020-03-15,1,0,0
2020-03-16,5,0,0
2020-03-17,7,0,0
2020-03-18,8,0,0
2020-03-19,8,0,0
2020-03-20,17,0,0
2020-03-21,17,0,0
2020-03-22,19,0,0
2020-03-23,36,0,0
2020-03-24,40,0,0
2020-03-25,41,0,0
2020-03-26,50,0,0
2020-03-27,54,0,0
2020-03-28,60,0,0
2020-03-29,70,0,0
2020-03-30,70,0,0
2020-03-31,75,0,0
2020-04-01,82,0,0
2020-04-02,84,0,0
2020-04-03,89,0,0
2020-04-04,102,0,0
2020-04-05,104,0,4
2020-04-06,105,0,4
2020-04-07,105,0,7
2020-04-08,110,0,7
2020-04-09,110,0,7
2020-04-10,118,0,7
2020-04-11,120,0,18
2020-04-12,126,0,25
2020-04-13,127,0,42
2020-04-14,134,0,49
2020-04-15,136,0,54
2020-04-16,138,0,60
2020-04-17,143,0,65
2020-04-18,144,0,69
2020-04-19,147,0,76
2020-04-20,147,0,76
2020-04-21,150,0,84
2020-04-22,153,0,84
2020-04-23,154,0,87
2020-04-24,176,0,87
2020-04-25,183,0,88
2020-04-26,191,0,92
2020-04-27,207,0,93
2020-04-28,212,0,95
2020-04-29,225,0,98
2020-04-30,243,0,104
2020-05-01,249,0,109
2020-05-02,255,0,120
2020-05-03,259,0,124
2020-05-04,261,0,128
2020-05-05,261,0,129
2020-05-06,268,0,130
2020-05-07,271,0,133
2020-05-08,273,0,136
2020-05-09,280,0,140
2020-05-10,284,0,140
2020-05-11,285,0,150
2020-05-12,286,0,153
2020-05-13,287,0,164
2020-05-14,287,0,168
2020-05-15,287,0,177
2020-05-16,289,0,178
2020-05-17,292,0,197
2020-05-18,297,0,203
2020-05-19,308,0,209
2020-05-20,314,0,216
2020-05-21,320,0,217
2020-05-22,321,0,222
2020-05-23,325,0,227
2020-05-24,327,0,237
2020-05-25,336,0,238
2020-05-26,339,0,244
2020-05-27,346,0,245
2020-05-28,349,0,245
2020-05-29,355,0,247
2020-05-30,359,1,250
2020-05-31,370,1,256
2020-06-01,377,1,262
2020-06-02,384,2,269
2020-06-03,397,2,271
2020-06-04,410,2,280
2020-06-05,420,2,282
2020-06-06,431,2,283
2020-06-07,439,2,290
2020-06-08,451,2,297
2020-06-09,463,2,300
2020-06-10,476,2,307
2020-06-11,494,2,313
2020-06-12,510,2,321
2020-06-13,541,2,332
2020-06-14,582,2,332
2020-06-15,612,2,338
2020-06-16,636,2,338
2020-06-17,639,2,347
2020-06-18,646,2,350
2020-06-19,661,2,351
2020-06-20,702,2,357
2020-06-21,728,2,359
2020-06-22,787,2,370
2020-06-23,798,2,371
2020-06-24,830,2,376
2020-06-25,850,2,385
2020-06-26,858,2,398
2020-06-27,878,2,413
2020-06-28,900,2,443
2020-06-29,1001,2,443
2020-06-30,1025,2,447
2020-07-01,1042,3,480
2020-07-02,1063,3,493
2020-07-03,1081,3,512
2020-07-04,1092,3,523
2020-07-05,1105,3,567
2020-07-06,1113,3,575
2020-07-07,1172,3,595
2020-07-08,1194,3,610
2020-07-09,1210,3,623
2020-07-10,1252,3,635
2020-07-11,1299,4,663
2020-07-12,1337,4,684
2020-07-13,1378,4,710
2020-07-14,1416,4,737
2020-07-15,1435,4,752
2020-07-16,1473,4,770
2020-07-17,1485,4,811
2020-07-18,1539,5,819
2020-07-19,1582,5,834
2020-07-20,1629,5,838
2020-07-21,1655,5,848
2020-07-22,1689,5,867
2020-07-23,1710,5,889
2020-07-24,1729,5,900
2020-07-25,1752,5,907
2020-07-26,1821,5,918
2020-07-27,1879,5,975
2020-07-28,1926,5,1005
2020-07-29,1963,5,1036
2020-07-30,1994,5,1085
2020-07-31,2022,5,1106
2020-08-01,2042,5,1119
2020-08-02,2062,5,1144
2020-08-03,2092,5,1169
2020-08-04,2099,5,1222
